"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.6081,8.21883633333331,362
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21412299999998,393
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,448
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3126,8.21962299999998,534
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,631.338455555556,11.2115286666667,295
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,633.321255555556,11.1454086666667,320
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,633.079222222222,11.061752,355
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,632.965222222222,11.062012,405
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,632.965222222222,11.062012,425
3.72,0.18,2.46,0.015,0.004,0.02,0.04,0.03,0.03,632.895222222222,11.067512,465
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,683.564266666667,8.72359999999999,307
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,683.644266666667,8.72359999999999,302
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,683.564266666667,8.72359999999999,306
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,682.987066666667,8.72359999999999,297
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,687.1794,8.53685966666666,303
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,687.0994,8.53685966666666,305
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,690.949866666667,8.57011199999999,322
3.1,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,684.1605,8.37877966666666,310
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,688.908333333334,8.67672833333332,378
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,688.908333333334,8.67672833333332,373
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,688.908333333334,8.67672833333332,373
3.5,0.25,2.5,0.02,0.004,0.001,1.4,0.001,0.035,688.902833333333,8.68348166666666,356
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,691.796966666667,8.51362333333333,365
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,691.796966666667,8.51362333333333,369
3.5,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,691.689466666667,8.53278333333333,347
3.1,0.25,2.5,0.02,0.004,0.001,0.4,0.001,0.035,689.756833333333,8.36386999999999,374
3.6,0.24,3.2,0.015,0.013,0.001,0.68,0.78,0.06,797.148966666667,5.52415366666666,330
3.6,0.24,3.2,0.015,0.013,0.001,0.68,0.78,0.06,771.438666666667,5.73721566666666,304
3.6,0.24,3.2,0.015,0.013,0.001,0.68,0.78,0.06,797.543966666667,5.59139466666666,325
3.6,0.24,3.58,0.014,0.01,0.001,0.65,0.68,0.054,800.600066666667,5.52193566666666,331
3.6,0.24,3.58,0.014,0.01,0.001,0.65,0.68,0.054,773.7489,5.70472266666666,313
3.6,0.24,3.58,0.014,0.01,0.001,0.65,0.68,0.054,800.600066666667,5.52113566666666,330
3.66,0.2,2.69,0.012,0.005,0.001,0.61,0.59,0.047,806.5943,5.59285966666666,338
3.66,0.2,2.69,0.012,0.005,0.001,0.61,0.59,0.047,786.0039,5.72156466666666,304
3.66,0.2,2.69,0.012,0.005,0.001,0.61,0.59,0.047,806.5943,5.59285966666666,338
3.66,0.2,2.69,0.012,0.005,0.001,0.61,0.59,0.047,807.301466666667,5.54383099999999,363
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,718.8543,5.11559333333332,326
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,692.297733333333,5.78634999999998,288
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,718.4138,5.06031333333332,362
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,710.297533333333,5.49872399999998,373
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,718.4623,5.09287333333332,331
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,710.162733333334,5.56520999999998,325
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,704.779366666667,5.43556533333332,286
3.2,0.15,2.5,0.04,0.015,0.001,0.97,0.6,0.07,691.81289047619,6.02442466666665,260
3.6,0.13,2.66,0.05,0.01,0.001,0.52,0.52,0.07,705.001366666667,5.71909133333331,276
